epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3163,1.58513,2.60959,1.58211,0.22483,0.30903,0.26134,0.16145,1.93651,2.35382,1.83722,0.00032867,0.00032867,0.00032867
2,42.4609,1.5088,1.79341,1.46276,0.51886,0.27778,0.29235,0.10909,1.8542,2.8813,1.85203,0.000664981,0.000664981,0.000664981
3,57.8967,1.52738,1.70914,1.49957,0.22733,0.30903,0.19395,0.08032,1.87076,5.64087,1.89898,0.000994501,0.000994501,0.000994501
4,76.8243,1.49485,1.57533,1.47468,0.23523,0.35417,0.17777,0.09202,1.9062,3.49591,1.865,0.00131723,0.00131723,0.00131723
5,94.1459,1.56438,1.66396,1.52437,0.55182,0.17361,0.14422,0.06603,1.93429,4.8412,1.97616,0.00137241,0.00137241,0.00137241
6,111.167,1.51735,1.62056,1.49595,0.11124,0.47569,0.14232,0.07017,1.90403,3.03357,1.87283,0.00135826,0.00135826,0.00135826
7,128.852,1.51272,1.54825,1.45586,0.21312,0.42009,0.18036,0.07974,1.81742,2.97393,1.78601,0.00134412,0.00134412,0.00134412
8,145.847,1.45892,1.51419,1.46898,0.43912,0.25566,0.21701,0.11403,1.7914,3.27277,1.69049,0.00132997,0.00132997,0.00132997
9,162.989,1.45121,1.48617,1.45157,0.41021,0.34028,0.2732,0.12339,1.97091,2.12647,1.85914,0.00131582,0.00131582,0.00131582
10,181.567,1.44096,1.42577,1.42763,0.4473,0.2853,0.35608,0.21661,1.73822,1.82163,1.69848,0.00130168,0.00130168,0.00130168
11,198.109,1.42363,1.44307,1.44415,0.26484,0.48875,0.33106,0.20721,1.65659,2.08715,1.67677,0.00128753,0.00128753,0.00128753
12,216.482,1.41528,1.45028,1.43221,0.3,0.45139,0.33313,0.20992,1.6251,1.67133,1.64522,0.00127338,0.00127338,0.00127338
13,235.236,1.37246,1.37088,1.40677,0.8421,0.19078,0.28846,0.18294,1.74207,1.83644,1.7216,0.00125923,0.00125923,0.00125923
14,253.062,1.38212,1.37489,1.42164,0.51761,0.50874,0.46141,0.25458,1.58277,1.68791,1.58896,0.00124509,0.00124509,0.00124509
15,270.16,1.32416,1.33227,1.36112,0.55913,0.40882,0.36754,0.1785,1.56691,1.69562,1.52633,0.00123094,0.00123094,0.00123094
16,289.235,1.32503,1.25584,1.34122,0.54213,0.47574,0.45443,0.23701,1.62077,1.62938,1.63008,0.00121679,0.00121679,0.00121679
17,305.858,1.30827,1.22606,1.34834,0.6448,0.39144,0.44131,0.23363,1.49575,1.57951,1.56987,0.00120265,0.00120265,0.00120265
18,324.578,1.32122,1.27261,1.38913,0.69885,0.37259,0.43709,0.24489,1.53849,1.57437,1.63365,0.0011885,0.0011885,0.0011885
19,342.194,1.30442,1.21647,1.33997,0.67048,0.43625,0.50101,0.24699,1.59934,1.5409,1.66019,0.00117435,0.00117435,0.00117435
20,357.46,1.22523,1.15462,1.298,0.64871,0.41667,0.50456,0.32621,1.52036,1.54037,1.5403,0.00116021,0.00116021,0.00116021
21,374.829,1.25782,1.18476,1.34037,0.81774,0.43587,0.57473,0.35759,1.52608,1.53128,1.57642,0.00114606,0.00114606,0.00114606
